,Symbol,Name
415,096350,대창솔루션
416,140520,대창스틸
417,131220,대한과학
418,010170,대한광통신
419,054670,대한뉴팜
420,001070,대한방직
421,023910,대한약품
422,006650,대한유화
423,001440,대한전선
424,084010,대한제강
425,001795,대한제당우
426,001790,대한제당
427,001130,대한제분
428,003495,대한항공우
429,003490,대한항공
430,005880,대한해운
431,003830,대한화섬
432,016090,대현
433,069460,대호에이엘
434,021040,대호특수강
435,021045,대호특수강우
436,067080,대화제약
437,043090,더테크놀로지
438,298540,더네이쳐홀딩스
439,032860,더라미
440,475560,더본코리아
441,192080,더블유게임즈
442,393890,더블유씨피
443,299170,더블유에스아이
444,089230,THE E&M
445,012510,더존비즈온
446,224060,더코디
447,302920,더콘텐츠온
448,213420,덕산네오룩스
449,317330,덕산테코피아
450,077360,덕산하이메탈
451,004835,덕성우
452,004830,덕성
453,090410,덕신이피씨
454,024900,덕양산업
455,263600,덕우전자
456,194480,데브시스터즈
457,263800,데이타솔루션
458,199150,데이터스트림즈
459,206560,덱스터
460,261200,덴티스
461,145720,덴티움
462,227420,도부
463,067990,도이치모터스
464,002150,도화엔지니어링
465,006620,동구바이오제약
466,005160,동국산업
467,460850,동국씨엠
468,075970,동국알앤에스
469,100130,동국S&C
470,460860,동국제강
471,086450,동국제약
472,001230,동국홀딩스
473,004140,동방
474,099410,동방선기
475,007590,동방아그로
476,005965,동부건설우
477,005960,동부건설
478,026960,동서
479,002210,동성제약
480,102260,동성케미컬
481,033500,동성화인텍
482,025950,동신건설
483,000640,동아쏘시오홀딩스
484,170900,동아에스티
485,088130,동아엘텍
486,028100,동아지질
487,041930,동아화성
488,001525,동양우
489,001527,동양2우B
490,084670,동양고속
491,001520,동양
492,082640,동양생명
493,060380,동양에스텍
494,079960,동양이엔피
495,008970,동양철관
496,228340,동양파일
497,092780,동양피스톤
498,088910,동우팜투테이블
499,094170,동운아나텍
500,049770,동원F&B
501,013120,동원개발
502,018500,동원금속
503,006040,동원산업
504,030720,동원수산
505,014825,동원시스템즈우
506,014820,동원시스템즈
507,111380,동인기연
508,163560,동일고무벨트
509,109860,동일금속
510,032960,동일기연
511,004890,동일산업
512,023790,동일스틸럭스
513,002690,동일제강
514,005290,동진쎄미켐
515,025900,동화기업
516,000020,동화약품
517,000155,두산우
518,000157,두산2우B
519,454910,두산로보틱스
520,241560,두산밥캣
521,000150,두산
522,034020,두산에너빌리티
523,131970,두산테스나
524,33626K,두산퓨얼셀1우
525,33626L,두산퓨얼셀2우B
526,336260,두산퓨얼셀
527,016740,두올
528,073190,듀오백
529,176750,듀켐바이오
530,030350,드래곤플라이
531,203650,드림시큐리티
532,223250,드림씨아이에스
533,060570,드림어스컴퍼니
534,362990,드림인사이트
535,192650,드림텍
536,016670,디모아
537,187870,디바이스이엔지
538,456440,DB금융스팩11호
539,477760,DB금융스팩12호
540,489730,디비금융제13호스팩
541,024090,디씨엠
542,003160,디아이
543,092200,디아이씨
544,110990,디아이티
545,004840,DRB동일
546,263690,디알젬
547,214680,디알텍
548,347850,디앤디파마텍
549,377190,디앤디플랫폼리츠
550,263720,디앤씨미디어
551,376300,디어유
552,241520,DSC인베스트먼트
553,109740,디에스케이
554,031860,디에이치엑스컴퍼니
555,290120,DH오토리드
556,025440,DH오토웨어
557,196490,디에이테크놀로지
558,066900,디에이피
559,180400,DXVX
