Date,Open,High,Low,Close,Volume,Change
2018-08-23,316000,316000,305500,311000,297695,-0.012698412698412653
2018-08-24,309000,313000,304000,311500,146181,0.001607717041800738
2018-08-27,309500,317000,309500,311000,175243,-0.0016051364365970988
2018-08-28,314000,325500,314000,321500,230821,0.0337620578778135
2018-08-29,322500,327500,320500,322500,115629,0.0031104199066873672
2018-08-30,321000,321500,315500,316500,154875,-0.018604651162790753
2018-08-31,316000,316000,311500,316000,105825,-0.0015797788309637184
2018-09-03,315500,316000,311500,312000,120087,-0.012658227848101222
2018-09-04,313500,314500,304000,308500,192140,-0.011217948717948678
2018-09-05,308500,308500,300000,300500,213957,-0.02593192868719607
2018-09-06,300500,305500,297500,297500,138906,-0.009983361064891838
2018-09-07,299500,304000,297000,302500,118930,0.01680672268907557
2018-09-10,300500,303500,299000,300000,92985,-0.008264462809917328
2018-09-11,300000,300000,285500,287500,347855,-0.04166666666666663
2018-09-12,284500,290000,277000,288000,275191,0.0017391304347826875
2018-09-13,291000,296500,286000,286000,253043,-0.00694444444444442
2018-09-14,285000,293000,285000,290500,120057,0.01573426573426584
2018-09-17,288000,289500,283500,286500,83779,-0.013769363166953541
2018-09-18,284500,291500,283500,286000,146092,-0.0017452006980802626
2018-09-19,288500,293500,284000,286000,149132,0.0
2018-09-20,285500,285500,277000,283500,273259,-0.00874125874125875
2018-09-21,286500,287000,279000,284000,135055,0.0017636684303350414
2018-09-27,281500,282000,276000,277000,216757,-0.02464788732394363
2018-09-28,277500,280000,277000,278000,130560,0.0036101083032491488
2018-10-01,278000,283000,273000,273500,146439,-0.01618705035971224
2018-10-02,272500,276500,271000,274500,104710,0.003656307129798808
2018-10-04,274500,274500,255000,257000,359452,-0.063752276867031
2018-10-05,255000,263500,253500,262500,197454,0.021400778210116655
2018-10-08,266000,278000,265500,270500,268886,0.030476190476190546
2018-10-10,273500,276000,267000,271500,8154268,0.003696857670979714
2018-10-11,268000,278000,263000,268000,316757,-0.012891344383057057
2018-10-12,264500,273000,262000,269000,165301,0.003731343283582156
2018-10-15,269500,270000,262000,266000,101782,-0.01115241635687736
2018-10-16,267000,269500,263500,266500,90221,0.001879699248120259
2018-10-17,268000,274500,267000,271000,93263,0.016885553470919357
2018-10-18,271000,273000,256500,257500,159115,-0.04981549815498154
2018-10-19,254500,260500,250000,260000,163182,0.009708737864077666
2018-10-22,260000,263500,252500,262000,82049,0.007692307692307665
2018-10-23,261000,263000,254000,256000,131843,-0.022900763358778664
2018-10-24,262000,274500,262000,272500,282081,0.064453125
2018-10-25,269500,281500,261500,281000,332452,0.031192660550458662
2018-10-26,283000,283000,265000,268000,189936,-0.0462633451957295
2018-10-29,269000,274500,255000,255500,188029,-0.04664179104477617
2018-10-30,250500,259000,247000,254000,140517,-0.005870841487279899
2018-10-31,255500,265500,248500,262500,144762,0.0334645669291338
2018-11-01,265000,274000,261000,265000,151966,0.00952380952380949
2018-11-02,272000,289500,270500,285500,364391,0.07735849056603783
2018-11-05,283500,285000,274000,284500,169994,-0.003502626970227629
2018-11-06,283000,284000,277000,280500,103334,-0.01405975395430581
2018-11-07,279500,283000,277500,278500,114486,-0.007130124777183555
2018-11-08,283500,286000,276500,278500,150174,0.0
2018-11-09,276000,287000,276000,281500,155264,0.010771992818671361
2018-11-12,287000,288500,278000,286000,135910,0.015985790408525657
2018-11-13,281500,283500,275500,280000,95260,-0.020979020979020935
2018-11-14,289000,296500,286500,290500,248689,0.03750000000000009
2018-11-15,289500,297500,288000,295000,167086,0.015490533562822817
2018-11-16,296000,297000,289000,293500,113071,-0.005084745762711895
2018-11-19,290500,296000,286000,291500,156883,-0.006814310051107331
2018-11-20,288500,290500,278000,279000,148924,-0.04288164665523153
2018-11-21,280500,284500,278500,283500,119902,0.016129032258064502
2018-11-22,284000,285000,278500,284500,86915,0.003527336860670305
2018-11-23,284500,288000,276000,277500,73661,-0.024604569420035194
2018-11-26,281500,292500,277000,291500,176942,0.05045045045045038
2018-11-27,290000,291500,285000,287000,90608,-0.015437392795883409
2018-11-28,288000,288000,273500,276000,242287,-0.0383275261324042
2018-11-29,280000,283500,274000,275500,163571,-0.0018115942028985588
2018-11-30,277000,278000,270500,272500,171723,-0.010889292196007205
2018-12-03,278000,293500,278000,288500,367898,0.05871559633027523
2018-12-04,288500,290000,282500,285500,118190,-0.010398613518197597
2018-12-05,279500,285000,275000,279500,125804,-0.021015761821365997
2018-12-06,278000,287500,277500,279500,129819,0.0
2018-12-07,280500,282000,277000,278500,63322,-0.003577817531305927
2018-12-10,273000,274500,262000,266000,188927,-0.044883303411131115
2018-12-11,267000,271000,264500,265500,87222,-0.001879699248120259
2018-12-12,265500,268500,263500,267000,112257,0.005649717514124353
2018-12-13,270500,276000,267000,273500,156157,0.02434456928838946
2018-12-14,275000,278500,269000,272000,79873,-0.005484460694698323
2018-12-17,274000,275000,270500,274500,56727,0.009191176470588314
2018-12-18,272500,276500,268000,268500,91743,-0.021857923497267784
2018-12-19,277500,281500,274500,281500,154744,0.04841713221601496
2018-12-20,277500,281000,274500,278000,80582,-0.01243339253996445
2018-12-21,280000,286500,279000,283500,123112,0.019784172661870603
2018-12-24,284000,292000,280500,291500,148530,0.02821869488536155
2018-12-26,286500,297000,285500,295500,179050,0.013722126929674117
2018-12-27,291000,292000,278000,279500,210430,-0.05414551607445006
2018-12-28,281000,283500,274000,277000,101456,-0.008944543828264706
2019-01-02,277500,283500,274500,275000,111841,-0.0072202166064981865
2019-01-03,277000,277500,266000,267500,97431,-0.027272727272727226
2019-01-04,263000,265000,251000,256500,261091,-0.04112149532710285
2019-01-07,265500,279000,261000,272500,224976,0.06237816764132553
2019-01-08,276500,276500,263000,263000,107111,-0.034862385321100864
2019-01-09,264000,274000,261500,272000,135380,0.034220532319391594
2019-01-10,269000,271000,264500,265000,124741,-0.02573529411764708
2019-01-11,266000,273000,264000,272500,128423,0.028301886792452935
2019-01-14,272500,274000,264000,265000,117457,-0.02752293577981646
2019-01-15,266000,269500,264000,268500,103833,0.013207547169811429
2019-01-16,269000,277500,268500,276500,188534,0.029795158286778367
2019-01-17,277500,285000,277500,282500,200586,0.02169981916817365
2019-01-18,285000,287500,280000,281500,131183,-0.0035398230088495852
2019-01-21,287000,294500,287000,292000,199448,0.03730017761989335
2019-01-22,293000,296000,289500,290500,122341,-0.005136986301369828
2019-01-23,289000,291000,283500,288000,120067,-0.008605851979345935
2019-01-24,287500,290000,284500,288500,59180,0.0017361111111111605
2019-01-25,288000,300000,287000,298500,177792,0.03466204506065851
2019-01-28,299500,306500,298000,304500,181363,0.0201005025125629
2019-01-29,303500,303500,296000,299000,126766,-0.01806239737274218
2019-01-30,302000,305000,294500,304500,120012,0.018394648829431537
2019-01-31,309500,310000,298500,300000,118017,-0.014778325123152691
2019-02-01,300000,304000,297000,300000,85374,0.0
2019-02-07,301500,305000,294500,304000,96157,0.01333333333333342
2019-02-08,302500,303000,287000,287000,211071,-0.05592105263157898
2019-02-11,287000,288500,278500,283500,156943,-0.012195121951219523
2019-02-12,283500,286000,278500,284500,132672,0.003527336860670305
2019-02-13,288000,301000,287500,301000,263470,0.05799648506151134
2019-02-14,299000,302500,294000,302000,145649,0.0033222591362125353
2019-02-15,299500,301000,293500,296500,100948,-0.018211920529801362
2019-02-18,301000,313000,300000,312500,291907,0.053962900505902134
2019-02-19,312000,322000,312000,321500,293662,0.028799999999999937
2019-02-20,322500,331500,322000,327000,244489,0.01710730948678063
2019-02-21,326000,332500,324000,331000,164723,0.012232415902140747
2019-02-22,331000,331500,326000,330500,107297,-0.0015105740181269312
2019-02-25,334500,336000,325500,327500,142446,-0.009077155824508298
2019-02-26,326500,329500,323500,329000,99725,0.004580152671755711
2019-02-27,328500,329500,325500,329500,58758,0.001519756838905817
2019-02-28,328000,328000,318500,319000,197732,-0.03186646433990892
2019-03-04,319500,324000,311500,313000,175519,-0.018808777429467072
2019-03-05,314000,316000,308000,310500,111189,-0.007987220447284393
2019-03-06,312000,315500,306000,310000,102208,-0.0016103059581320522
2019-03-07,307500,309000,292000,294000,265132,-0.05161290322580647
2019-03-08,293500,297000,289000,291500,147853,-0.008503401360544172
2019-03-11,295000,297500,284000,289000,172958,-0.00857632933104635
2019-03-12,292000,293500,288000,291000,112464,0.006920415224913601
2019-03-13,290000,291000,284500,288000,121992,-0.010309278350515427
2019-03-14,293500,295500,288000,292500,204605,0.015625
2019-03-15,291500,297000,290500,295000,155163,0.008547008547008517
2019-03-18,296000,297500,293500,296000,115407,0.003389830508474523
2019-03-19,296000,298000,292000,293500,95560,-0.008445945945945943
2019-03-20,293500,294000,285500,290500,113671,-0.010221465076660996
2019-03-21,289500,289500,285000,289000,182563,-0.005163511187607606
2019-03-22,289500,290500,279000,281000,228267,-0.02768166089965396
2019-03-25,276500,283000,275000,276500,136232,-0.016014234875444844
2019-03-26,276500,279500,274000,277500,93413,0.003616636528029016
2019-03-27,276000,279000,275000,277000,83946,-0.0018018018018017834
2019-03-28,274500,283000,274000,281500,132570,0.016245487364620947
2019-03-29,283000,291500,278000,290500,247435,0.03197158081705154
2019-04-01,296000,307500,296000,301000,290584,0.03614457831325302
2019-04-02,302000,304000,298000,301000,106550,0.0
2019-04-03,298500,308500,298500,307500,142642,0.021594684385382035
2019-04-04,307500,309500,305500,306500,102677,-0.003252032520325243
2019-04-05,307000,309500,298500,302500,104878,-0.013050570962479635
2019-04-08,301000,304000,295000,299000,127902,-0.011570247933884281
2019-04-09,300500,303000,297500,298500,76991,-0.0016722408026755842
2019-04-10,298500,299000,292000,295500,121223,-0.01005025125628145
2019-04-11,296000,301500,296000,301000,143797,0.01861252115059231
2019-04-12,301000,308000,297500,304500,147939,0.011627906976744207
2019-04-15,306500,309000,300500,300500,128121,-0.013136288998357948
2019-04-16,300500,303500,293500,294000,125463,-0.021630615640598982
2019-04-17,294000,294000,286500,287000,205456,-0.023809523809523836
2019-04-18,287000,287500,281500,282000,202570,-0.017421602787456414
2019-04-19,283500,285000,280500,282000,112927,0.0
2019-04-22,282000,287000,280000,280500,115397,-0.005319148936170248
2019-04-23,281000,281000,275000,275500,179333,-0.017825311942959
2019-04-24,278000,280500,275000,276000,126875,0.001814882032667775
2019-04-25,275000,276000,272000,272500,125663,-0.0126811594202898
2019-04-26,272000,272500,265000,266000,188673,-0.023853211009174258
2019-04-29,267500,275000,267000,275000,138075,0.03383458646616533
2019-04-30,275000,275500,266500,268500,163492,-0.023636363636363678
2019-05-02,268500,275000,268500,270500,96666,0.007448789571694592
2019-05-03,271500,273500,268000,268000,91940,-0.009242144177449174
2019-05-07,265000,271000,260000,268000,158486,0.0
2019-05-08,264000,271000,264000,271000,133682,0.011194029850746245
2019-05-09,269500,270500,261000,261000,154678,-0.03690036900369009
2019-05-10,262500,267000,260000,264500,118030,0.013409961685823646
2019-05-13,265000,269500,261000,261500,103432,-0.011342155009451793
2019-05-14,260000,265000,259500,261500,173893,0.0
2019-05-15,265000,269500,264500,265000,188880,0.013384321223709472
2019-05-16,263500,269000,261500,263000,94238,-0.007547169811320753
2019-05-17,264000,268500,263000,263500,73076,0.0019011406844107182
2019-05-20,264000,265000,254500,257000,131512,-0.024667931688804545
2019-05-21,257000,263000,257000,261500,86804,0.017509727626459082
2019-05-22,263000,266000,262000,264500,68546,0.011472275334607929
2019-05-23,264500,266000,262000,265500,100176,0.003780718336483968
2019-05-24,263000,264000,259000,261000,103377,-0.016949152542372836
2019-05-27,261000,261500,257500,261000,138945,0.0
2019-05-28,261000,263000,257500,258000,141304,-0.011494252873563204
2019-05-29,258500,260000,251000,254500,104817,-0.013565891472868241
2019-05-30,254000,258500,251500,255000,95870,0.0019646365422396617
2019-05-31,254000,259000,251500,258000,122274,0.0117647058823529
2019-06-03,255000,261000,254500,260000,83028,0.007751937984496138
2019-06-04,258500,265000,258500,263000,119410,0.011538461538461497
2019-06-05,266500,268000,263500,266500,111890,0.013307984790874583
2019-06-07,265500,265500,254500,256000,183870,-0.039399624765478425
2019-06-10,257500,259000,256500,258000,89574,0.0078125
2019-06-11,258000,260500,256000,259000,106954,0.003875968992248069
